Tale,preprocessed_tale
"Снежно белый снеговик Он не мал и не велик, Снежно белый снеговик. У него морковкой нос, Очень любит он мороз, В стужу, он не замерзает. А весна приходит – тает. Что же делать, как же быть? Как его нам сохранить? Может белый холодильник, Для снеговика купить? ",снежно белый снеговик маленький большой снежно белый снеговик морковка нос очень любить мороз стужа замерзать весна приходить таять делать мы сохранить белый холодильник снеговик купить
"Снеговик из детской сказки Раскраснелась детвора - Накатала три шара! Друг на друга их сложили, И ведро нагромоздили. Нос - морковка, уголь - глазки, Снеговик из детской сказки! Руки - ветки, рот - конфета... Пусть стоит теперь до лета!  ",снеговик детский сказка раскраснеться детвора накатать шар друг друг сложить ведро нагромоздить нос морковка уголь глазок снеговик детский сказка рука ветка рот конфета пусть стоить лето
"Снежная баба Мы снежную бабу слепили на славу.  На славу, на славу, себе на забаву. На нас она черными смотрит глазами,  Как будто смеется двумя угольками. Хотя и стоит наша баба с метлой,  Но пусть не покажется вам она злой. Ведро вместо шляпы надели мы ей…  Со снежною бабой игра веселей. ",снежный баба снежный баба слепить слава слава слава забава чёрный смотреть глаз смеяться два уголёк хотя стоить наш баба метла пусть показаться злой ведро вместо шляпа надеть снежный баба игра веселеть
"Ком, комочек и комTaleок Что стоишь и ждёшь, дружок: Ком, комочек и комок? Угли — глазки, нос — морковка, И метёлку держишь ловко. Мне прекрасно здесь стоится, В двери Новый год стучится, Дедушка Мороз и вьюга Лепят для меня подругу. ",кто комочек кто tale стоить ждать дружок кто комочек комок уголь глазок нос морковка метёлка держать ловко прекрасно стояться дверь новый год стучаться дедушка мороз вьюга лепить подруга
"Лепим снеговика Лепит с самого утра Детвора снеговика. Снежные шары катает И смеясь, соединяет. Cнизу самый крупный ком, Чуть поменьше ком на нём. Ещё меньше – голова, Дотянулись мы едва. Глазки- шишки, нос морковка. Шапочку надели ловко. Яркий шарф, в руках метла. И довольна детвора. ",лепить снеговик лепить сам утро детвора снеговик снежный шар катать смеяться соединять низ самый крупный кто маленький кто он ещё маленький голова дотянуться едва шишка нос морковка шапочка надеть ловко яркий шарф рука метла довольный детвора
Снежинки – Кто снежинки Делал эти? За работу Кто в ответе? – Я! – ответил Дед Мороз И схватил меня За нос! ,снежинка снежинка делать работа ответ ответить дед мороз схватить нос
"Это что за чудеса? Смотрит ежик в небеса:  Это что за чудеса?  В небе ежики летают,  А возьмешь в ладошки - тают.  Ежики-ежинки  Белые снежинки. ",это чудо смотреть ёжик небо это чудо небо ёжик летать взять ладошка таять белые снежинка
"Снежинки, как смешинки Кружится и хохочет  Метель под Новый год.  Снег опуститься хочет,  А ветер не дает.  И весело деревьям,  И каждому кусту,  Снежинки, как смешинки,  Танцуют на лету. ",снежинка смешинка кружиться хохотать метель новый год снег опуститься хотеть ветер давать весело дерево каждый куст снежинка смешинка танцевать лёт
"Сверкающая Снежинка Чтобы к вам спуститься с неба, Мне и крылья не нужны. Без меня бы белым не был Путь красавицы Зимы. Я танцую вместе с ветром, Мчусь неведомо куда. И в лучах любого света Я сверкаю, как звезда! ",сверкать снежинка спуститься небо крыло нужный белый путь красавица зима танцевать вместе ветер мчаться неведомый луч любой свет сверкать звезда
"Весёлая Снежинка Ветер песенку поет На лесной опушке, Танцевать меня зовет В хоровод к подружкам. Ветер, ветер, дуй сильней, Чтоб плясалось веселей Ледяной кружинке – Маленькой снежинке. ",весёлый снежинка ветер песенка петь лесной опушка танцевать звать хоровод подружка ветер ветер дуть сильный плясаться веселеть ледяной кружинка маленький снежинка
